user_id,preference
1,1001010100100100000000000101000000000000000
2,0001000000000000000000000001000010001000000
3,1101001010000000000000000000000010000110000
5,1001001000001000000000100011000010000000000
7,1101000010100000000000101000000000000010000
8,1101001010000000000000000101100000000000000
9,0001000000000000000000100001000000100000000
10,1100001011000000100100000100000000000000000
11,1101001000001000000000000100001000000010000
12,1000001010000000001100000000100000000101000
14,1101001010000000000000000101000000000010000
15,1000000000000100000000000000000010000010000
16,1000001000000000000001010101000000100010000
17,1101001000000000001000001000100000000001000
18,0001000100000100000001001001000000000011000
19,1101001000001000000000000000100000000011000
20,1001000100000000000000000100010100000110000
21,1100001000000000000001001000100000000011000
22,1101001010000000000000000001000010000010000
23,1001000110100000000000000101000010000000000
24,1001001000000000100000001001000100000001000
25,1001001000000000000000000101100000100100000
26,1001001000100000000000000100100010000010000
27,1101000110100000000000000100000000000010000
28,1001011000000000000000000101000000100010000
29,1101001010000001000001000000000000000010000
30,1100001010000100000000001000000010000010000
31,1001000010000000000000000101000010100010000
32,1101001010000000000000000100100010000000000
33,1001001010000000000000000000000010001110000
34,1101000010000000010000000000000010000110000
35,0000000000000000000000000000100000000000000
36,1001000010000000100000000101001010000000000
37,1101001000000000000000000101000000100010000
38,1101000011000000101000000000000010000000000
39,1001001000000000010000000101000010000100000
40,1001000000000000000001000001100000100011000
41,1001000100100000010000000100000010000100000
42,1000001010000000100000000100000110000010000
43,1101000000000000001001000000100000000110000
44,1101000010000000001000000000100010000010000
45,1001001000100000000000000101001000000010000
46,1001001010000000000001001000000010000010000
47,1101001010000000100000000000000010000010000
48,1000001010000000001100000000100010000100000
50,1101001010000000100000000000000010000100000
51,1100001010000000100100000000000010000010000
52,1001011100100000000000000101000000000000000
53,1001001010000000000000000101000000100010000
55,1001100000000000000000000101100010001000000
56,1101010010000000010000000000000010000100000
57,1001011010000000000000000001000010000010000
58,1101000011000000000000000100000010000010000
59,1000000000000000000001001000000010000011000
60,1101001010000000100100000000000010000000000
61,1101001010000000000000000101000000100000000
62,1101000000000000001000000001100010001000000
63,0001001000000000000001000100001001000010100
64,0001001000000000100000101001000000100001000
65,1000011000000000000000001000000010100011000
66,1001001010000000100000000100000010100000000
67,1001001100100000100000000000000000000110000
68,1000000010000000000001001000100010000011000
69,1001000100100000000001000001000010000010000
70,0000000000000000000000000000100000000001000
71,1101010010000000000000000001000010000010000
72,1101001010000000010000000001000010000000000
73,0001001000000000000000000101000010100110000
74,1000001010000000010000000100100010000100000
75,1001000000000000000101000100100010000010000
76,1101001010001000000010000100000000000000000
77,1100011010000000000000000100000010000010000
78,0001000010000000000000000101000000100010000
79,1101001000000000000001000001000000100010000
80,1001001000100000000000000101000010000010000
81,1101001010000000100100000000000000000010000
82,1101001000001000000000100010000010000000000
83,0000001000000000000000001100011000000000000
84,1101011010000000000000000000000010000010000
85,1101000011000001000000000100000010000000000
86,1101001010000000100100000000000010000000000
87,1101000010000000000000001101000000000010000
88,1101001010000100000000000100000010000000000
90,1100001010000100000001000000000010000010000
91,0001000100100000000001000101000000000011000
92,1101000110100000000000000000000010000010000
93,1001000100100000100000000101000000000010000
94,1101001010000000100000000000000010000010000
95,1101000010000000000000000101000000100010000
96,1001001000100000010000000101000001000000000
97,1101010010000000000001000000000010000010000
98,1001010010000000000001000001000010000010000
99,1100101010000000001000001000100000000000000
100,1100010010000100000001000000000010000010000
101,1001000000000000010000000000000010000110000
102,1001001010000000000000000001000000000111000
103,1001001010000000001000000001100000100000000
104,1001001100100000000000001100000000000010000
105,1101001010000000100100000000000010000000000
106,1001001000000000000000011001000010000010000
107,1001010010001000000000000100000010000010000
108,1000001010000000001000000100001000100010000
109,1000001100000100000001000000100000000110000
110,1001001010000000000000000001000010000110000
111,0000101000010000001000001100100000000000010
112,1001010010000000010000000000000010000110000
113,0001000110100000100000000100000000000000000
114,0001000000000000000000000101001000000000000
115,0100001010000100000001001000100000000001000
116,1001000000000000010000000101001010000100000
117,1001010010100000000000000101000000000010000
118,1101001010000000000000000000000010000110000
119,0001000010000001100000000101001000000000000
120,1001001000000100000000000101000000100010000
121,1001000000000000000001011100100000000010000
122,0001000100100000000000000101100010000010000
123,1000001010000010000000000000000010100110000
124,1100011010000000100100000000000010000000000
125,1100001000001000000001000110000000000001000
126,1001001000000100000001001000001000000010000
127,1001001010000000000000000001000010001100000
128,0100001010000000000001001000000010000011000
129,1001001010000000000000000101000010100000000
130,1001001000000000010000000101000010000010000
131,0000000010000000000000000000000000100000000
132,1100001010000000000000001000000010000110000
134,1101001010000000000000000001000010000010000
135,0001001100000000000000000101010000100010000
136,1001000000000000000001001000000010000111000
137,1101001010000000100100000000000010000000000
138,1101000010000100000001000000000010000010000
139,1100001010000000100100000000000010000010000
140,0001000000000000000001000101100010000011000
141,1101001011000000000000000100000010000000000
142,1101001010000000100100000000000000000010000
143,0001001000000000000000000101000000100000010
144,1101001000000000001000000101100000000000000
145,1001000000000000000000000001000010100100000
146,0001010100100000000000000101100000000010000
147,1001011010001000000000000000000010000010000
148,1101000010000001010000000000000010000100000
149,1001010010000000000000000101000010000010000
150,1000010010000000000001011000000010000010000
152,1100101000000000001000001000000000100010000
153,1100011010001000000000000100000000000010000
154,0001001010100000000000000101001000100000000
155,0101001011000000000000000101000010000000000
156,1101000011000000000000000101000000000100000
158,1100010011000000000000000100000010000010000
159,1001001000001010000000000010000010000010000
160,1101101000000000000000100001000000000010000
161,1101000011000000000000000100000010000100000
162,0000000000010000000000000000000000000000000
163,1101001011000000000000000100000010000000000
164,1101001010001000000000000000000010000010000
165,1101000010001000000100000101000000000000000
166,1100001000000000001100000001100000000100000
167,1001101000000100000000000001000000100010000
